"percent","model","task_file","score","time_stamp"
"70.0","dolphin-2_6-phi","code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl","7 / 10","2024-04-13-15:44:45701295"
"90.0","codeninja-1.0-openchat","code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl","9 / 10","2024-04-13-15:44:45701485"
"90.0","mistral-7b-instruct","code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl","9 / 10","2024-04-13-15:44:45701623"
"70.0","llamacorn","code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl, code_writing_test_set_8.jsonl","7 / 10","2024-04-13-15:44:45701804"
